Date,compteur_100054073,compteur_100052606,compteur_100003032,compteur_100053057,compteur_100053058,compteur_100012218,compteur_100035408,compteur_100004575,compteur_100035409,compteur_100003041,compteur_100007390,compteur_100041114,compteur_100041101,compteur_100052604,compteur_100034805,compteur_100057500,compteur_100056188,compteur_100057053,compteur_100003039,compteur_100011783,compteur_100057050,compteur_100052605,compteur_100001753,compteur_100003042,compteur_100003040,compteur_100052603,compteur_100052601,compteur_100002880,compteur_100052602,compteur_100057051,compteur_100012217,compteur_100003034,compteur_100052600,compteur_100055268,compteur_100011748,compteur_100011747,compteur_100025474,compteur_100017523,compteur_100053055,compteur_100053210,compteur_100017441,compteur_100053059,compteur_100047030,compteur_100057052
2019-01-01 0:00,,,0,,,0,0,0,0,0,0,0,0,,0,,,,0,0,,,0,0,,,0,0,,,1,0,,,0,0,0,,,,,0,,
2019-01-01 0:15,,,2,,,0,0,0,0,0,0,0,0,,0,,,,1,0,,,0,1,,,0,0,,,0,0,,,0,0,0,,,,,0,,
2019-01-01 0:30,,,1,,,0,0,0,0,0,1,0,0,,0,,,,0,0,,,0,0,,,0,0,,,1,2,,,1,0,0,,,,,0,,
2019-01-01 0:45,,,4,,,0,1,0,0,0,1,0,0,,0,,,,0,1,,,0,0,,,0,0,,,2,3,,,0,0,0,,,,,0,,
2019-01-01 1:00,,,0,,,0,0,0,0,0,0,0,0,,0,,,,0,0,,,0,0,,,0,0,,,2,2,,,0,0,0,,,,,0,,
2019-01-01 1:15,,,0,,,0,0,0,0,0,2,0,0,,0,,,,0,0,,,0,0,,,0,0,,,1,2,,,0,0,1,,,,,0,,
2019-01-01 1:30,,,0,,,0,0,0,0,0,2,0,0,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,1,1,,,,,0,,
2019-01-01 1:45,,,0,,,0,0,0,0,0,1,0,0,,1,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,,,,,0,,
2019-01-01 2:00,,,0,,,0,1,0,0,0,1,0,0,,0,,,,0,1,,,0,0,,,0,0,,,0,0,,,0,0,1,,,,,0,,
2019-01-01 2:15,,,0,,,0,0,0,0,0,0,0,0,,0,,,,4,0,,,2,0,,,0,0,,,1,0,,,0,0,0,,,,,1,,
2019-01-01 2:30,,,3,,,0,0,0,0,0,1,0,0,,0,,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,7,,,,,0,,
2019-01-01 2:45,,,0,,,1,0,0,0,0,1,0,0,,0,,,,1,0,,,0,0,,,0,0,,,1,1,,,0,0,1,,,,,0,,
2019-01-01 3:00,,,1,,,0,0,0,0,0,1,0,0,,0,,,,0,0,,,0,2,,,0,0,,,0,0,,,0,0,0,,,,,1,,
2019-01-01 3:15,,,0,,,0,0,0,0,0,1,0,0,,0,,,,0,0,,,0,0,,,0,0,,,1,2,,,0,0,0,,,,,0,,
2019-01-01 3:30,,,0,,,0,0,0,0,0,2,0,0,,0,,,,1,0,,,0,0,,,0,0,,,0,0,,,0,0,0,,,,,1,,
2019-01-01 3:45,,,0,,,6,1,0,0,0,0,0,0,,0,,,,1,1,,,0,0,,,0,0,,,1,0,,,0,0,1,,,,,0,,
2019-01-01 4:00,,,0,,,0,0,0,0,0,0,0,0,,0,,,,0,0,,,0,0,,,0,0,,,0,1,,,0,0,1,,,,,0,,
